【整租】和丰公寓 西丽 大磡商业街,西丽,1200-1800,http://sz.58.com/pinpaigongyu/33373478245164x.shtml?psid=149224196199441681017481260
【整租】西乡 糖果公寓 1室0厅,【整租】西乡,1280,http://sz.58.com/pinpaigongyu/33275149195720x.shtml?psid=149224196199441681017481260
【整租】具客青年公寓 坂田 具客青年公寓,坂田,1180-1380,http://sz.58.com/pinpaigongyu/33477032996807x.shtml?psid=149224196199441681017481260
【整租】西乡 固戍华庭 1室0厅,固戍华庭,1000,http://sz.58.com/pinpaigongyu/33368032516013x.shtml?psid=149224196199441681017481260
【整租】西丽 大磡和丰公寓 1室0厅,【整租】西丽,1200,http://sz.58.com/pinpaigongyu/33388090670399x.shtml?psid=149224196199441681017481260
【整租】车公庙 车公庙地铁站 1室1厅,车公庙地铁站,1250,http://sz.58.com/pinpaigongyu/33390215279156x.shtml?psid=149224196199441681017481260
【整租】西乡 碧海湾花园 1室0厅,碧海湾花园,1080,http://sz.58.com/pinpaigongyu/33465390668098x.shtml?psid=149224196199441681017481260
【整租】科技园 深南花园 1室0厅,深南花园,1100,http://sz.58.com/pinpaigongyu/33421648836150x.shtml?psid=149224196199441681017481260
【整租】沙井 中亚硅谷海岸 1室0厅,中亚硅谷海岸,1200,http://sz.58.com/pinpaigongyu/32603114563790x.shtml?psid=149224196199441681017481260
【整租】西乡 固戍福华大厦 1室0厅,固戍福华大厦,1280,http://sz.58.com/pinpaigongyu/32646157345097x.shtml?psid=149224196199441681017481260
【整租】冠寓 横岗 横岗店,横岗,1500-2200,http://sz.58.com/pinpaigongyu/32923107015363x.shtml?psid=149224196199441681017481260
【整租】大芬村 大芬油画苑 1室1厅,大芬油画苑,1000,http://sz.58.com/pinpaigongyu/32725006963633x.shtml?psid=149224196199441681017481260
【整租】魔方公寓（深圳） 平湖 平安大道店,平湖,1300-1880,http://sz.58.com/pinpaigongyu/33443692242872x.shtml?psid=149224196199441681017481260
【整租】西乡 豪业华庭 1室0厅,豪业华庭,1500,http://sz.58.com/pinpaigongyu/31640656200256x.shtml?psid=149224196199441681017481260
【整租】西乡 西乡海乐花园 1室0厅,西乡海乐花园,1280,http://sz.58.com/pinpaigongyu/33465388555189x.shtml?psid=194635796199441681049294244
【整租】西乡 固戍地铁站A出口 1室0厅,固戍地铁站A出口,1000,http://sz.58.com/pinpaigongyu/33354834041007x.shtml?psid=194635796199441681049294244
【整租】西乡 西乡海乐花园 1室1厅,西乡海乐花园,1380,http://sz.58.com/pinpaigongyu/33429787161676x.shtml?psid=194635796199441681049294244
【整租】光明新区 窝潮梦享社区光明 1室1厅,窝潮梦享社区光明,1380,http://sz.58.com/pinpaigongyu/32403781009198x.shtml?psid=194635796199441681049294244
【整租】西丽 麒麟公寓 1室1厅,【整租】西丽,1050,http://sz.58.com/pinpaigongyu/31843313382468x.shtml?psid=194635796199441681049294244
【整租】宝安 好住公寓 1室0厅,【整租】宝安,1380,http://sz.58.com/pinpaigongyu/33351601507373x.shtml?psid=194635796199441681049294244
【整租】沙井 沙井富居 1室0厅,沙井富居,1500,http://sz.58.com/pinpaigongyu/33323899932871x.shtml?psid=194635796199441681049294244
【整租】西乡 固戍花园 1室0厅,固戍花园,1000,http://sz.58.com/pinpaigongyu/33399043657285x.shtml?psid=194635796199441681049294244
【整租】蛇口 南山大厦 1室0厅,南山大厦,1000,http://sz.58.com/pinpaigongyu/33375051593655x.shtml?psid=194635796199441681049294244
【整租】后海 后海花园 1室0厅,后海花园,1000,http://sz.58.com/pinpaigongyu/33297956341676x.shtml?psid=194635796199441681049294244
【整租】优家青年公寓 坂田 优家青年公寓,坂田,1350-1650,http://sz.58.com/pinpaigongyu/30056082010051x.shtml?psid=194635796199441681049294244
【整租】宇恒公寓 松岗 宇恒公寓,松岗,1400,http://sz.58.com/pinpaigongyu/29385105169970x.shtml?psid=194635796199441681049294244
【整租】Here house公寓 龙岗中心城 爱联店,【整租】Here,1400-2300,http://sz.58.com/pinpaigongyu/32944677045951x.shtml?psid=194635796199441681049294244
【整租】益安公寓 西乡 益安之家,西乡,1100-1480,http://sz.58.com/pinpaigongyu/32721176231620x.shtml?psid=194635796199441681049294244
【整租】ID青年公寓 西乡 ID青年公寓,西乡,1380-1388,http://sz.58.com/pinpaigongyu/31530689884486x.shtml?psid=194635796199441681049294244
【整租】U港公寓 新安 富源店,新安,1180-1780,http://sz.58.com/pinpaigongyu/31839402457778x.shtml?psid=194635796199441681049294244
【整租】西乡 固戍花园 1室1厅,固戍花园,1200,http://sz.58.com/pinpaigongyu/33221627820608x.shtml?psid=194635796199441681049294244
【整租】华侨城 华侨城地铁站 1室1厅,华侨城地铁站,1230,http://sz.58.com/pinpaigongyu/33390248865342x.shtml?psid=139221058199441681084358681
【整租】西乡 西乡地铁站 1室1厅,西乡地铁站,1000,http://sz.58.com/pinpaigongyu/33388219092013x.shtml?psid=139221058199441681084358681
【整租】西丽 麒麟公寓 1室1厅,【整租】西丽,1000,http://sz.58.com/pinpaigongyu/31844894569802x.shtml?psid=139221058199441681084358681
【整租】和丰公寓 西丽 大磡商业街,西丽,1200-1800,http://sz.58.com/pinpaigongyu/33373478245164x.shtml?psid=139221058199441681084358681
【整租】横岗 六约新村 1室1厅,六约新村,1180,http://sz.58.com/pinpaigongyu/33296716845099x.shtml?psid=139221058199441681084358681
【整租】深大北门 深大地铁站 1室0厅,深大地铁站,1000,http://sz.58.com/pinpaigongyu/33484583772876x.shtml?psid=139221058199441681084358681
【整租】西乡 西乡海乐花园 1室1厅,西乡海乐花园,1500,http://sz.58.com/pinpaigongyu/33468148166327x.shtml?psid=139221058199441681084358681
【整租】西丽 麒麟公寓 1室1厅,【整租】西丽,1000,http://sz.58.com/pinpaigongyu/31841116694455x.shtml?psid=139221058199441681084358681
【整租】宝安中心区 十六号公寓 1室0厅,【整租】宝安中心区,1000,http://sz.58.com/pinpaigongyu/33422498447147x.shtml?psid=139221058199441681084358681
【整租】西乡 固戍地铁站A出口 1室1厅,固戍地铁站A出口,1300,http://sz.58.com/pinpaigongyu/33367980691006x.shtml?psid=139221058199441681084358681
【整租】西乡 固戍红湾新村 1室1厅,固戍红湾新村,1500,http://sz.58.com/pinpaigongyu/33179945287987x.shtml?psid=139221058199441681084358681
【整租】优家青年公寓 坂田 优家青年公寓,坂田,1350-1650,http://sz.58.com/pinpaigongyu/30056082010051x.shtml?psid=139221058199441681084358681
【整租】优家青年公寓 坂田 优家青年公寓,坂田,1500-1850,http://sz.58.com/pinpaigongyu/30026892729788x.shtml?psid=139221058199441681084358681
【整租】ID青年公寓 西乡 ID青年公寓,西乡,1480-1888,http://sz.58.com/pinpaigongyu/31530723821387x.shtml?psid=139221058199441681084358681
【整租】十六号公寓 西乡 西乡精品公寓,西乡,1380-1980,http://sz.58.com/pinpaigongyu/32532987409337x.shtml?psid=139221058199441681084358681
【整租】横岗 荣德国际城市综合 1室1厅,荣德国际城市综合,1000,http://sz.58.com/pinpaigongyu/32725028884666x.shtml?psid=139221058199441681084358681
【整租】科技园 麒麟公寓 1室1厅,【整租】科技园,1000,http://sz.58.com/pinpaigongyu/31844823634109x.shtml?psid=190114988199441681116406907
